Dataset,Algorithm,accuracy,precision,sensitivity,specificity,f1,auc,n_selected,Runtime_s
Vehicle,BCMAES,0.7397557131599686,0.7306713965566282,0.7428058526925249,0.9130371050252121,0.7354092838805777,0.9224841877245958,9.8,1.412306308746338
Parkinsons,AMPA_FS,0.9105982905982907,0.8993133868965966,0.8525439342403628,0.8525439342403628,0.8720425537310204,0.9516156462585034,6.833333333333333,2.431129733721415
Parkinsons,BMPA,0.90991452991453,0.8981777465422885,0.8518565759637188,0.8518565759637188,0.871388626154778,0.9557468820861679,7.633333333333334,2.3674450874328614
Parkinsons,BPSO,0.9138461538461539,0.904140116564531,0.8570365646258503,0.8570365646258503,0.876802436318733,0.9518258692365834,6.066666666666666,4.124646631876628
Parkinsons,BGA,0.9162393162393163,0.9053568975290077,0.8625992063492062,0.8625992063492062,0.8809274372857454,0.9595993953136811,6.566666666666666,0.38037938276926675
Parkinsons,BGWO,0.9153846153846155,0.906081683042548,0.8594600340136053,0.8594600340136053,0.8791508449009153,0.9547666288737717,8.733333333333333,4.393256187438965
Parkinsons,BWOA,0.9087179487179488,0.8961618892813017,0.8503613945578233,0.8503613945578233,0.8696183919694589,0.9518683862433863,9.0,4.16141095161438
Parkinsons,BSSA,0.9112820512820513,0.8994210134248402,0.8544005102040816,0.8544005102040816,0.8734636512354289,0.953885582010582,9.4,4.165513435999553
Parkinsons,BHHO,0.916923076923077,0.9071777683199653,0.8628188775510204,0.8628188775510204,0.8815769287925288,0.9575042517006801,9.533333333333333,4.152866848309835
Parkinsons,BSCA,0.9061538461538462,0.8917148091703558,0.8474914965986393,0.8474914965986393,0.8661732252496499,0.9495228647014359,8.833333333333334,4.1161646525065105
Parkinsons,BGOA,0.9076923076923078,0.8947192419976805,0.8489795918367345,0.8489795918367345,0.8682670598388218,0.9544713718820863,10.3,4.824061592419942
Parkinsons,BWSO,0.9107692307692309,0.8977162219168595,0.8545280612244899,0.8545280612244899,0.8729050110381994,0.9539280990173846,9.333333333333334,1.391010324160258
Parkinsons,BEHO,0.9131623931623932,0.9017630194050213,0.8570507369614512,0.8570507369614512,0.8760093013744795,0.958682917611489,8.533333333333333,3.573826281229655
Parkinsons,BCMAES,0.9114529914529915,0.8997531749887487,0.8547477324263038,0.8547477324263038,0.8738564257444712,0.9525651927437642,6.766666666666667,1.4081362247467042
Colon,AMPA_FS,0.8747311827956988,0.8627719941265038,0.8650757575757577,0.8650757575757577,0.8636177104942572,0.9147916666666667,48.733333333333334,2.8358105421066284
Colon,BMPA,0.8698924731182794,0.8584526380162915,0.8575757575757578,0.8575757575757578,0.8577097953589141,0.9155871212121213,57.63333333333333,2.8477487484614055
Colon,BPSO,0.8758064516129032,0.8638080814725202,0.8665909090909092,0.8665909090909092,0.864931516627102,0.9128219696969697,63.4,4.06834864616394
